# state_id|command|implementation|implementation_locator|test|test_locator
settings-section-collapsed|expand_settings_section|src/main/java/io/github/yosk/mdlite/presentation/MainActivity.java|toggleSettingsPanel|src/test/java/io/github/yosk/mdlite/model/DisclosureStateTest.java|togglingACollapsedSectionProducesAnExpandedSection
settings-section-expanded|collapse_settings_section|src/main/java/io/github/yosk/mdlite/presentation/MainActivity.java|toggleSettingsPanel|src/test/java/io/github/yosk/mdlite/model/DisclosureStateTest.java|togglingAnExpandedSectionProducesACollapsedSection
table-of-contents-collapsed|expand_table_of_contents|src/main/java/io/github/yosk/mdlite/presentation/MainActivity.java|toggleTableOfContentsPanel|src/test/java/io/github/yosk/mdlite/model/DisclosureStateTest.java|togglingACollapsedSectionProducesAnExpandedSection
table-of-contents-expanded|collapse_table_of_contents|src/main/java/io/github/yosk/mdlite/presentation/MainActivity.java|toggleTableOfContentsPanel|src/test/java/io/github/yosk/mdlite/model/DisclosureStateTest.java|togglingAnExpandedSectionProducesACollapsedSection
recent-files-dialog|open_recent_file|src/main/java/io/github/yosk/mdlite/presentation/DocumentListDialogController.java|onClick|src/test/java/io/github/yosk/mdlite/model/DocumentListDialogStateTest.java|selectingARecentDocumentRequestsOpeningThatDocument
recent-files-dialog|clear_recent_files|src/main/java/io/github/yosk/mdlite/presentation/DocumentListDialogController.java|onClick|src/test/java/io/github/yosk/mdlite/model/DocumentListDialogStateTest.java|recentDocumentsSecondaryActionClearsRecentHistory
recent-files-dialog|close_dialog|src/main/java/io/github/yosk/mdlite/presentation/DocumentListDialogController.java|onDismiss|src/test/java/io/github/yosk/mdlite/model/DocumentListDialogStateTest.java|closingAnOpenDocumentListProducesTheClosedState
pinned-file-list-visible|open_pinned_file|src/main/java/io/github/yosk/mdlite/presentation/DocumentListDialogController.java|onClick|src/test/java/io/github/yosk/mdlite/model/DocumentListDialogStateTest.java|selectingAPinnedDocumentRequestsOpeningThatDocument
pinned-file-list-visible|clear_all_pins|src/main/java/io/github/yosk/mdlite/presentation/DocumentListDialogController.java|onClick|src/test/java/io/github/yosk/mdlite/model/DocumentListDialogStateTest.java|pinnedDocumentsSecondaryActionClearsPinnedFiles
pinned-file-list-visible|close_dialog|src/main/java/io/github/yosk/mdlite/presentation/DocumentListDialogController.java|onDismiss|src/test/java/io/github/yosk/mdlite/model/DocumentListDialogStateTest.java|closingPinnedDocumentsProducesTheClosedState
library-tree-visible|scroll_menu|src/main/java/io/github/yosk/mdlite/presentation/SwipeMenuScrollView.java|dispatchTouchEvent|src/testMedium/java/io/github/yosk/mdlite/presentation/MenuPanelScrollabilityMediumTest.java|verticalSwipeReachesLowerMenuActions
library-tree-visible|collapse_library_tree|src/main/java/io/github/yosk/mdlite/presentation/MarkdownLibraryMenuTree.java|toggleLoadedTree|src/testMedium/java/io/github/yosk/mdlite/presentation/MarkdownLibraryMenuTreeMediumTest.java|tappingAnExpandedLibraryActionCollapsesTheSelectedTree
library-tree-collapsed|expand_library_tree|src/main/java/io/github/yosk/mdlite/presentation/MarkdownLibraryMenuTree.java|toggleLoadedTree|src/testMedium/java/io/github/yosk/mdlite/presentation/MarkdownLibraryMenuTreeMediumTest.java|tappingACollapsedLibraryActionReopensTheSameSelectedTree
