# flow_id|state_id|event|available_commands|completion_command|escape_command|recovery_command|evidence
recent-files|recent-files-dialog|Recent files dialog displayed|open_recent_file,close_dialog,clear_recent_files|open_recent_file|close_dialog|clear_recent_files|src/main/java/io/github/yosk/mdlite/presentation/MainMenuActions.java,docs/harness/exploration-sessions/2026-06-13-navigation.md
markdown-library|library-tree-visible|Markdown library tree displayed|filter_library_items,open_markdown_file,enter_child_folder,go_to_parent_folder,choose_another_folder,scroll_menu,collapse_library_tree,close_menu|open_markdown_file|close_menu|choose_another_folder|src/main/java/io/github/yosk/mdlite/presentation/MarkdownLibraryMenuTree.java,src/main/java/io/github/yosk/mdlite/file/MarkdownLibraryLocation.java,src/testMedium/java/io/github/yosk/mdlite/presentation/MenuPanelScrollabilityMediumTest.java
markdown-library|library-tree-collapsed|Markdown library tree collapsed|expand_library_tree,close_menu|expand_library_tree|close_menu|expand_library_tree|src/main/java/io/github/yosk/mdlite/presentation/MarkdownLibraryMenuTree.java,src/testMedium/java/io/github/yosk/mdlite/presentation/MarkdownLibraryMenuTreeMediumTest.java
pinned-files|pinned-file-list-visible|Pinned files list displayed|choose_pinned_file_action,clear_all_pins,close_dialog|choose_pinned_file_action|close_dialog|clear_all_pins|src/main/java/io/github/yosk/mdlite/model/DocumentListDialogState.java,src/main/java/io/github/yosk/mdlite/file/PinnedDocuments.java
pinned-files|pinned-file-actions-visible|Pinned file actions displayed|open_pinned_file,unpin_pinned_file,close_dialog|open_pinned_file|close_dialog|unpin_pinned_file|src/main/java/io/github/yosk/mdlite/model/DocumentListDialogState.java,src/main/java/io/github/yosk/mdlite/presentation/DocumentListDialogController.java
temporary-documents|temporary-document-tab-active|Temporary clipboard document active|save_as,close_temporary_tab,switch_tab|save_as|close_temporary_tab|switch_tab|src/main/java/io/github/yosk/mdlite/viewer/OpenDocumentTab.java,src/main/java/io/github/yosk/mdlite/presentation/DocumentSaver.java
external-open|external-file-opened|Markdown file opened from another app|open_as_tab,return_to_source_app,open_next_external_file|open_as_tab|return_to_source_app|open_next_external_file|src/main/java/io/github/yosk/mdlite/presentation/MainActivity.java,docs/harness/exploration-sessions/2026-06-13-navigation.md
unsupported-file|unsupported-file-dialog|Unsupported file reason displayed|choose_another_file,close_dialog,view_reason|choose_another_file|close_dialog|choose_another_file|src/main/java/io/github/yosk/mdlite/presentation/MainActivity.java,docs/harness/exploration-sessions/2026-06-13-navigation.md
settings|settings-section-collapsed|Inline settings collapsed|expand_settings_section,close_menu|expand_settings_section|close_menu|expand_settings_section|src/main/java/io/github/yosk/mdlite/model/DisclosureState.java,src/main/java/io/github/yosk/mdlite/presentation/ExpandableMenuSection.java
settings|settings-section-expanded|Inline settings expanded|collapse_settings_section,open_theme_dialog,toggle_language,toggle_controls_placement,open_gesture_shortcuts,open_pro_features,open_clipboard_diagnostics,open_privacy_policy,close_menu|toggle_language|close_menu|collapse_settings_section|src/main/java/io/github/yosk/mdlite/model/DisclosureState.java,src/main/java/io/github/yosk/mdlite/presentation/ExpandableMenuSection.java
table-of-contents|table-of-contents-collapsed|Table of contents collapsed|expand_table_of_contents,close_menu|expand_table_of_contents|close_menu|expand_table_of_contents|src/main/java/io/github/yosk/mdlite/model/DisclosureState.java,src/main/java/io/github/yosk/mdlite/presentation/ExpandableMenuSection.java
table-of-contents|table-of-contents-expanded|Table of contents expanded|collapse_table_of_contents,jump_to_heading,close_menu|jump_to_heading|close_menu|collapse_table_of_contents|src/main/java/io/github/yosk/mdlite/model/DisclosureState.java,src/main/java/io/github/yosk/mdlite/presentation/ExpandableMenuSection.java
theme|theme-dialog|Theme dialog displayed|select_theme,close_dialog|select_theme|close_dialog|select_theme|src/main/java/io/github/yosk/mdlite/presentation/SettingsDialogs.java
gestures|gesture-shortcuts-dialog|Gesture shortcuts dialog displayed|select_shortcut_action,close_dialog|select_shortcut_action|close_dialog|select_shortcut_action|src/main/java/io/github/yosk/mdlite/presentation/GestureShortcutDialogs.java
pro|pro-features-dialog|Pro features dialog displayed|start_purchase,restore_purchase,close_dialog|start_purchase|close_dialog|restore_purchase|src/main/java/io/github/yosk/mdlite/presentation/ProFeaturesDialog.java
info|clipboard-diagnostics-dialog|Clipboard diagnostics displayed|close_dialog|close_dialog|close_dialog|close_dialog|src/main/java/io/github/yosk/mdlite/presentation/SettingsDialogs.java
info|privacy-policy-dialog|Privacy policy displayed|close_dialog|close_dialog|close_dialog|close_dialog|src/main/java/io/github/yosk/mdlite/presentation/SettingsDialogs.java
search|document-search-bar-visible|Search bar displayed|find_next,find_previous,close_search_bar|find_next|close_search_bar|find_previous|src/main/java/io/github/yosk/mdlite/presentation/DocumentSearchBar.java
clipboard|clipboard-item-picker|Clipboard item picker displayed|open_selected_items,cancel,adjust_selection|open_selected_items|cancel|adjust_selection|src/main/java/io/github/yosk/mdlite/presentation/ClipboardDocumentCreator.java
